system:index,chla_sat,date,lake,.geo
20180529T164901_20180529T170026_T15TYL,-0.21951795765295545,2018-05-29,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180529T164901_20180529T170026_T15TYM,-0.2709648562334836,2018-05-29,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180613T164839_20180613T165632_T15TYL,0.020476391712459005,2018-06-13,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180613T164839_20180613T165632_T15TYM,0.02440133252037659,2018-06-13,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180618T164901_20180618T165611_T15TYM,0.05364616681928199,2018-06-18,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180621T165851_20180621T170156_T15TYM,-0.08493258978626855,2018-06-21,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180623T164839_20180623T165303_T15TYL,-0.5622782608980079,2018-06-23,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180628T164901_20180628T165023_T15TYL,-0.03825047729752773,2018-06-28,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180706T165849_20180706T170955_T15TYL,0.5348815501319216,2018-07-06,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180706T165849_20180706T170955_T15TYM,0.04303980751703405,2018-07-06,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180708T164901_20180708T165804_T15TYL,0.35818363440999795,2018-07-08,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180716T165849_20180716T171005_T15TYL,1.5995263060996232,2018-07-16,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180716T165849_20180716T171005_T15TYM,1.356935631051844,2018-07-16,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180718T165111_20180718T165543_T15TYL,0.16465685579002204,2018-07-18,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180723T165049_20180723T165424_T15TYL,-0.017006149666178815,2018-07-23,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180723T165049_20180723T165424_T15TYM,-0.005097075081816318,2018-07-23,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180731T165851_20180731T170602_T15TYM,-0.05756005308119523,2018-07-31,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180805T170009_20180805T170455_T15TYL,-0.07484934715413767,2018-08-05,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180810T165851_20180810T170630_T15TYM,0.026175359628564408,2018-08-10,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180812T164839_20180812T165202_T15TYL,-0.018934488163482623,2018-08-12,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180812T164839_20180812T165202_T15TYM,0.2601396002283178,2018-08-12,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180822T164839_20180822T165712_T15TYL,-0.02557354599668028,2018-08-22,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180822T164839_20180822T165712_T15TYM,0.013205610484361384,2018-08-22,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180906T164851_20180906T165725_T15TYL,0.3473145511498486,2018-09-06,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180906T164851_20180906T165725_T15TYM,0.3913377324815088,2018-09-06,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180911T165159_20180911T165349_T15TYL,-0.15081632817894813,2018-09-11,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180911T165159_20180911T165349_T15TYM,-0.13431221933770704,2018-09-11,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180914T165909_20180914T170918_T15TYL,-0.06666342281924453,2018-09-14,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180916T164921_20180916T165003_T15TYL,0.0035138266632177614,2018-09-16,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180916T164921_20180916T165003_T15TYM,-0.06782374762582435,2018-09-16,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181016T165251_20181016T165641_T15TYL,0.1844753956468974,2018-10-16,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181024T170349_20181024T171027_T15TYL,0.26919827411229175,2018-10-24,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181024T170349_20181024T171027_T15TYM,0.059185219924822334,2018-10-24,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181115T165541_20181115T165543_T15TYL,0.3873773085862645,2018-11-15,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181118T170601_20181118T171012_T15TYL,0.2800357761937378,2018-11-18,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181208T170701_20181208T170701_T15TYM,-0.2556414343869455,2018-12-08,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181215T165711_20181215T165707_T15TYL,3.083415566864224,2018-12-15,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190119T165629_20190119T165737_T15TYL,-1.558021763702394,2019-01-19,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
