system:index,chla_sat,date,lake,.geo
20181018T155241_20181018T155751_T18STG,-1.5600624146987527,2018-10-18,FCR,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181021T160311_20181021T160935_T18STG,-4.786798604529345,2018-10-21,FCR,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181023T155319_20181023T155339_T18STG,-1.9416420984312166,2018-10-23,FCR,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181110T160501_20181110T161140_T18STG,-2.5187641957280773,2018-11-10,FCR,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181117T155531_20181117T160112_T18STG,3.031649988145587,2018-11-17,FCR,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181120T160541_20181120T160629_T18STG,2.774538470307079,2018-11-20,FCR,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181125T160609_20181125T160710_T18STG,0.11013986324475794,2018-11-25,FCR,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181127T155601_20181127T160229_T18STG,-0.27173149386428114,2018-11-27,FCR,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181222T155649_20181222T155650_T18STG,2.751737481398766,2018-12-22,FCR,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190111T155629_20190111T155951_T18STG,2.15502741997975,2019-01-11,FCR,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190131T155509_20190131T155737_T18STG,6.384366297396472,2019-01-31,FCR,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190205T155431_20190205T155944_T18STG,3.0599160168042463,2019-02-05,FCR,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190225T155221_20190225T155738_T18STG,1.053843888105303,2019-02-25,FCR,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190312T155209_20190312T155717_T18STG,-0.3589600024447971,2019-03-12,FCR,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190317T155001_20190317T155509_T18STG,-6.928995214855831,2019-03-17,FCR,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190327T154901_20190327T155313_T18STG,-4.160284929578779,2019-03-27,FCR,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190401T154819_20190401T160051_T18STG,-5.122315456803264,2019-04-01,FCR,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190404T155829_20190404T160913_T18STG,-6.806744588147367,2019-04-04,FCR,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190416T154911_20190416T160007_T18STG,3.5129281700075623,2019-04-16,FCR,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190516T154911_20190516T155317_T18STG,-1.403109153262263,2019-05-16,FCR,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190519T155911_20190519T160743_T18STG,-0.8486698858211418,2019-05-19,FCR,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190521T154819_20190521T160104_T18STG,-0.8346053952328565,2019-05-21,FCR,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190524T155829_20190524T160831_T18STG,-0.9160629411441167,2019-05-24,FCR,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190615T154911_20190615T155624_T18STG,-1.19054600395547,2019-06-15,FCR,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190703T155829_20190703T160727_T18STG,-3.1103094718675184,2019-07-03,FCR,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190710T154819_20190710T160105_T18STG,-0.7952376056572851,2019-07-10,FCR,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190713T155829_20190713T161056_T18STG,-0.24667891126149497,2019-07-13,FCR,"{""type"":""MultiPoint"",""coordinates"":[]}"
